# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = iBEASTIE2_model
# start_datetime = 2021-07-26 00:16:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /Users/scarlett/Documents/Allen_lab/github/BEASTIE/BEASTIE_example/HG00096_chr21/output/s-0.5_a-0.05_sinCov0_totCov1_W1000K1000/output_pkl/beastie/tmp_output.txt
# init = /Users/scarlett/Documents/Allen_lab/github/BEASTIE/BEASTIE_example/HG00096_chr21/output/s-0.5_a-0.05_sinCov0_totCov1_W1000K1000/output_pkl/beastie/initialization_stan.txt
# random
#   seed = 3881123475 (Default)
# output
#   file = /Users/scarlett/Documents/Allen_lab/github/BEASTIE/BEASTIE_example/HG00096_chr21/output/s-0.5_a-0.05_sinCov0_totCov1_W1000K1000/output_pkl/beastie/stan_output.txt
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 9c6819a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,missingPi.1,missingPi.2,p
# Adaptation terminated
# Step size = 0.58681
# Diagonal elements of inverse mass matrix:
# 0.0261596, 1.55505, 1.91898
-22.9839,0.981986,0.58681,2,7,0,23.5475,1.12597,0.00251008,0.0458911,0.529625
-21.0584,0.99257,0.58681,2,7,0,23.8599,0.892726,0.104651,0.153724,0.471662
-20.5488,0.824513,0.58681,2,3,0,23.8016,1.05738,0.0495897,0.0446124,0.513944
-20.8719,0.924994,0.58681,2,3,0,21.9506,1.11844,0.209978,0.116413,0.527954
-20.6032,0.64572,0.58681,1,3,0,24.0597,1.07796,0.0323894,0.113455,0.518759
-23.0989,0.738145,0.58681,2,5,0,23.4344,1.03032,0.158234,0.00256846,0.507468
-22.7758,0.960212,0.58681,3,7,0,24.962,1.43348,0.0990926,0.0123539,0.589066
-22.8462,0.926502,0.58681,2,7,0,25.6339,0.8754,0.158523,0.00750401,0.46678
-22.5185,1,0.58681,3,7,0,23.7222,0.926164,0.0953562,0.345102,0.480833
-22.5915,1,0.58681,3,7,0,23.1769,1.30282,0.038588,0.00756446,0.56575
-21.9149,0.984191,0.58681,3,7,0,24.5718,0.792158,0.0978915,0.0910766,0.442014
-23.0882,0.938441,0.58681,3,7,0,23.7613,0.781619,0.0247081,0.0507241,0.438713
-20.6523,0.995293,0.58681,2,3,0,23.4936,1.12682,0.0815868,0.0289954,0.529814
-21.749,0.900961,0.58681,2,5,0,22.6885,1.04181,0.0503539,0.00949862,0.510238
-21.0262,0.964908,0.58681,3,7,0,22.9261,1.20595,0.205832,0.0683456,0.546681
-21.4063,0.801623,0.58681,2,3,0,22.8547,1.19677,0.177741,0.212978,0.544787
-21.628,0.841859,0.58681,3,7,0,22.7319,1.04719,0.0630581,0.00974405,0.511526
-21.1906,0.947375,0.58681,2,7,0,23.6111,1.00408,0.194058,0.0312588,0.501018
-20.8929,0.949799,0.58681,2,3,0,21.7895,1.04649,0.160458,0.0307194,0.511359
-21.9145,0.843071,0.58681,3,7,0,23.1307,1.15117,0.0090161,0.0373188,0.535137
-20.7068,0.953623,0.58681,3,7,0,23.7689,1.25406,0.047037,0.0840848,0.556357
-21.348,0.96493,0.58681,3,7,0,21.8167,0.925756,0.223812,0.062257,0.480723
-20.5935,0.946593,0.58681,3,7,0,22.0694,1.17741,0.0510121,0.145452,0.54074
-20.9953,0.981929,0.58681,3,7,0,21.1911,1.24901,0.0366428,0.045031,0.55536
-20.8798,0.989186,0.58681,2,7,0,21.5655,1.13971,0.0355605,0.173401,0.532646
-22.1334,0.704516,0.58681,3,7,0,24.6687,0.985387,0.0445776,0.00823579,0.49632
-21.1166,0.902018,0.58681,3,7,0,26.7015,1.05254,0.0380132,0.0234447,0.512799
-21.5641,0.987649,0.58681,2,3,0,21.835,1.12342,0.0249342,0.0179209,0.529062
-20.9472,0.966599,0.58681,3,7,0,23.1412,1.27459,0.161135,0.0801753,0.56036
-20.2585,1,0.58681,2,3,0,21.0987,1.04101,0.0802862,0.0696096,0.510046
-22.3673,0.858383,0.58681,2,3,0,22.9351,1.18876,0.119045,0.335034,0.543121
-21.325,1,0.58681,2,3,0,23.1169,1.01484,0.164152,0.0192508,0.503682
-20.4597,0.969625,0.58681,3,7,0,21.7558,1.20967,0.071125,0.118011,0.547443
-22.6601,0.88364,0.58681,3,7,0,23.2024,0.825615,0.0161092,0.0787764,0.452239
-20.7744,1,0.58681,2,3,0,22.7102,0.997871,0.0486943,0.168289,0.499467
-22.3181,0.914627,0.58681,2,7,0,23.1679,1.09947,0.00535505,0.0403478,0.52369
-25.4157,0.914834,0.58681,2,7,0,26.0478,1.09102,0.00036696,0.0204405,0.521764
-26.0879,0.978876,0.58681,2,3,0,26.9645,1.19365,0.000243437,0.0169352,0.544138
-23.9718,0.879843,0.58681,2,7,0,27.741,1.3817,0.00356848,0.0283008,0.580131
-21.3903,1,0.58681,3,7,0,24.3243,0.857269,0.0565866,0.122152,0.461575
-21.1991,0.910884,0.58681,2,7,0,22.6209,0.994339,0.0684671,0.0187705,0.498581
-20.8212,0.988453,0.58681,3,7,0,22.1354,1.21617,0.0552614,0.168132,0.548771
-21.7117,0.939073,0.58681,2,3,0,22.4133,1.32085,0.0217434,0.0446278,0.569124
-21.578,0.994322,0.58681,3,7,0,23.0934,0.868707,0.0352871,0.129333,0.464871
-20.3774,0.964759,0.58681,2,7,0,22.6467,1.00943,0.0655819,0.0700634,0.502346
-21.3291,0.883719,0.58681,1,3,0,22.1433,0.888728,0.0368325,0.109502,0.470543
-20.6523,0.990585,0.58681,3,7,0,22.3098,1.18682,0.107542,0.0358705,0.542715
-23.2315,0.855971,0.58681,3,7,0,23.4842,1.30001,0.22483,0.00693761,0.56522
-21.855,1,0.58681,2,3,0,23.3629,1.14857,0.0852161,0.00706297,0.534574
-21.0267,0.918321,0.58681,1,3,0,24.0799,1.00985,0.0428565,0.0282227,0.502452
-23.0204,0.90341,0.58681,2,3,0,23.7151,1.35521,0.181247,0.00826075,0.575409
-22.1825,0.992771,0.58681,2,7,0,23.7027,1.00618,0.0488554,0.00675619,0.50154
-20.5566,0.968508,0.58681,3,7,0,22.6156,1.03778,0.146871,0.146166,0.509269
-21.076,0.91063,0.58681,3,7,0,22.2202,1.16888,0.0374224,0.0258026,0.538933
-20.8233,0.987493,0.58681,3,7,0,21.5335,1.06861,0.0405087,0.181273,0.516585
-20.8233,0.51862,0.58681,1,1,0,22.2022,1.06861,0.0405087,0.181273,0.516585
-20.7972,0.984732,0.58681,2,3,0,21.3173,0.965019,0.0385633,0.113138,0.491099
-20.5483,0.978196,0.58681,2,7,0,21.4559,1.23274,0.108005,0.0623045,0.55212
-21.0687,0.952675,0.58681,3,7,0,21.4106,1.0147,0.0904098,0.0192413,0.503648
-21.3857,0.962713,0.58681,3,7,0,22.1636,1.15953,0.0934254,0.262749,0.536937
-20.6161,1,0.58681,2,3,0,21.3303,1.09815,0.114567,0.181495,0.52339
-21.3826,0.897466,0.58681,3,7,0,22.2376,1.29639,0.101547,0.0229811,0.564533
-20.3978,1,0.58681,3,7,0,21.616,0.99346,0.109457,0.0705744,0.49836
-23.5319,0.771867,0.58681,2,3,0,23.7791,0.742266,0.0284363,0.0577145,0.426035
-24.4834,0.997667,0.58681,3,7,0,25.7868,1.60394,0.0094963,0.0793992,0.615966
-20.9929,0.978827,0.58681,2,3,0,25.2589,1.20222,0.193896,0.0534474,0.545914
-20.7652,1,0.58681,3,7,0,21.2986,1.0132,0.0458595,0.169167,0.503279
-21.1304,0.575537,0.58681,2,7,0,25.0069,1.14477,0.0438914,0.0202462,0.53375
-23.806,0.913898,0.58681,2,3,0,24.0395,1.22964,0.0262776,0.00194567,0.551497
-23.9594,0.936761,0.58681,2,7,0,24.3501,1.15909,0.0315023,0.00121146,0.536842
-25.8901,0.986133,0.58681,3,7,0,27.523,1.0308,0.00365227,0.00120486,0.507582
-26.338,0.997828,0.58681,3,7,0,26.6959,1.11662,0.00310648,0.00079955,0.52755
-25.4265,1,0.58681,3,7,0,26.9769,1.10062,0.0138931,0.000497476,0.523951
-24.6604,0.996646,0.58681,2,3,0,25.7137,1.17514,0.0214391,0.00081173,0.540259
-23.2552,0.935535,0.58681,2,7,0,24.9958,1.27884,0.0450786,0.00302637,0.561181
-20.8155,0.952184,0.58681,2,7,0,23.4836,1.11976,0.130045,0.0265076,0.528248
-21.2667,0.931635,0.58681,3,7,0,21.927,1.00205,0.023292,0.173394,0.500511
-21.6956,0.979558,0.58681,2,7,0,22.1139,1.12981,0.0122774,0.0328324,0.530476
-22.2884,0.81041,0.58681,1,3,0,24.6097,1.11264,0.0292549,0.00687125,0.526658
-22.7345,0.983039,0.58681,2,3,0,23.1684,1.04876,0.0128911,0.00912299,0.511899
-23.8284,0.88911,0.58681,2,3,0,25.425,0.9328,0.228824,0.00287162,0.482616
-21.5919,0.923794,0.58681,3,7,0,24.3375,1.2637,0.0231824,0.176839,0.558246
-20.8755,1,0.58681,2,3,0,21.7262,1.23586,0.0440518,0.148937,0.552745
-20.8079,0.840262,0.58681,3,7,0,25.477,0.970216,0.183304,0.11043,0.492441
-21.4557,0.900139,0.58681,2,7,0,22.6325,1.23673,0.0502314,0.0168523,0.55292
-20.4412,0.987589,0.58681,3,7,0,23.0676,0.977204,0.114176,0.0824611,0.494235
-20.614,0.980428,0.58681,2,3,0,20.7526,1.00303,0.138454,0.0474453,0.500756
-21.0361,0.915897,0.58681,3,7,0,23.6074,1.22242,0.0342723,0.160404,0.550041
-22.4799,0.889708,0.58681,2,7,0,23.4416,1.46095,0.0345417,0.15869,0.593652
-21.1259,1,0.58681,3,7,0,23.1123,0.952621,0.159592,0.033039,0.487868
-21.3753,0.876805,0.58681,3,7,0,22.302,1.03738,0.0125789,0.10417,0.509173
-22.7135,0.883863,0.58681,2,3,0,23.5894,0.890701,0.00730827,0.133159,0.471096
-20.5151,0.944907,0.58681,2,3,0,23.3922,1.021,0.0415568,0.082511,0.505195
-21.5439,0.757826,0.58681,3,7,0,24.5661,1.07787,0.012462,0.0416192,0.518738
-22.9538,0.963226,0.58681,2,3,0,23.184,1.28287,0.0041485,0.046431,0.561956
-23.4348,1,0.58681,3,7,0,24.5023,0.98532,0.00180277,0.126141,0.496303
-24.1783,0.93718,0.58681,2,7,0,24.6102,0.848183,0.00233455,0.102734,0.458928
-23.3375,0.929792,0.58681,2,7,0,28.3783,1.32791,0.02043,0.00626769,0.57043
-22.6178,0.989504,0.58681,3,7,0,24.4667,1.03565,0.305738,0.0177067,0.508755
-20.397,1,0.58681,2,7,0,22.4797,1.12487,0.0483309,0.062625,0.529382
-20.5188,0.960915,0.58681,2,7,0,21.2638,1.00189,0.0463782,0.101515,0.500472
-21.5714,0.819001,0.58681,2,3,0,23.341,0.891557,0.0253451,0.086777,0.471335
-21.1941,0.994919,0.58681,3,7,0,22.6591,1.19671,0.0168704,0.0949331,0.544774
-23.5475,0.829012,0.58681,3,7,0,24.4627,1.54278,0.0421736,0.217508,0.606729
-23.5152,0.301365,0.58681,2,3,0,28.6137,1.56099,0.0792626,0.0183857,0.609525
